epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97713,2.40759,4.17725,2.20994,0.00607,0.73095,0.07096,0.03023,1.52581,4.10429,1.58545,9.999e-05,9.999e-05,9.999e-05
2,9.5339,1.98721,4.03435,1.91715,0.0078,0.73095,0.12385,0.0748,1.39138,4.15487,1.55968,0.000140077,0.000140077,0.000140077
3,12.5125,1.81032,3.86987,1.82957,0.00787,0.5881,0.12106,0.05034,1.40953,4.24135,1.58832,0.000108171,0.000108171,0.000108171
